id,name,type,source,price,length_m,width_m,tonnage,build_year,engine_hours,engine_power_hp,engine_make,generator_kva,bow_thruster_hp,fuel_tank_liters,num_holds,hull_type,clearance_height_m,cargo_capacity_m3,double_hull,has_bow_thruster,engine_revision_year,certificate_valid,price_per_meter,price_per_ton,vessel_age,days_on_market,is_outlier,canonical_vessel_id
2340f935-5f6a-4289-8f65-97c99e19e025,Ferox,Motorvrachtschip,gtsschepen,285000.0,70.0,7.06,862.0,1948.0,,675.0,Detroit Diesel,17.5,270.0,16000.0,2.0,welded,6.0,1325.0,,True,2005.0,True,4071.43,330.63,78.0,122,False,
24666228-d880-4591-8c12-b5aebf9852a6,Selodie,Motorvrachtschip,gsk,2350000.0,110.0,11.4,2807.54,1996.0,60300.0,1800.0,ABC,60.0,620.0,,1.0,welded,5.8,3850.0,,True,2016.0,True,21363.64,837.03,30.0,122,False,
2496217c-9f60-4947-ad9d-1427486b4517,Bastiaan,Motorvrachtschip,pcshipbrokers,,105.0,9.5,1921.0,1969.0,,,,,,,,,,,,,,,,,57.0,122,False,
25222086-55c6-4802-8bba-65e53dc164ea,Joost Kruijf,Tankschip,gtsschepen,150000.0,31.98,4.63,136.0,1927.0,,150.0,Volvo Penta,30.0,,,4.0,riveted,,170.0,,,,True,4690.43,1102.94,99.0,17,False,
254275d5-1dc5-493d-a227-7cc9d02540e8,Evolutie,Beunschip,gtsschepen,,70.0,7.2,831.0,1966.0,5715.0,500.0,Scania,17.5,350.0,11000.0,2.0,mixed,5.8,493.0,True,True,,True,,,60.0,122,False,3c6af80c-c6cc-4d6b-833e-7ec463de57bf
254b3689-2b1f-4aad-a2d9-5d3a4b077b96,SERANO,Tankschip,rensendriessen,,110.0,13.54,,,,,,,,,,,,,,,,,,,,101,False,
2558fe72-3e60-4aaf-a7ab-c81d83ad0ec9,Salire,Motorvrachtschip,pcshipbrokers,1785000.0,86.0,9.5,1630.0,1980.0,,,,,,,,,,,,,,,20755.81,1095.09,46.0,87,False,
25788b89-9897-4649-8d10-99baf1db1a53,Riposa,Motorvrachtschip,pcshipbrokers,6250000.0,135.0,14.27,5040.0,2009.0,,,,,,,,,,,,,,,46296.3,1240.08,17.0,122,False,
25d6cbf4-fadc-4c38-ab91-a704c22796b2,Oli-chris,Motorvrachtschip,gsk,785000.0,80.0,8.26,1079.0,1960.0,,950.0,Mitsubishi,30.0,,,2.0,,5.8,1600.0,False,True,,True,9812.5,727.53,66.0,122,False,
269dd2c4-de49-46cd-9fd3-69f6791aa1ef,Marjolein,Motorvrachtschip,gtsschepen,325000.0,80.0,8.2,1102.0,1953.0,,720.0,Doosan,13.5,168.0,10000.0,1.0,mixed,4.65,1300.0,True,True,2013.0,True,4062.5,294.92,73.0,94,False,
26bbdb80-7ba4-4e99-b215-e6e8dc83465c,Progresso,,gsk,,84.84,9.5,1800.0,2002.0,,,,,,,,,,,,,,,,,24.0,38,False,eb79f94e-5e37-44e8-8ae7-616d6cb7f734
